,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
192607,   12.07,    5.42,    1.87,    1.52,    3.07,    5.41,    1.79,    2.42,    0.58,    4.38,    1.21,   11.38,    1.68,    1.51,    2.13,    2.40,    2.45,    0.59,    0.56
192608,   -9.73,    2.66,    2.66,    5.63,    1.01,    4.01,    2.01,    4.59,    7.12,    0.15,    2.21,    6.42,    2.37,    1.52,    2.62,    4.76,    4.18,    8.36,    3.88
192609,  -15.16,    1.33,    0.09,   -0.71,   -0.98,    3.05,   -0.26,   -0.18,   -1.46,    0.00,   -2.32,    6.33,    0.73,   -0.81,    0.41,   -0.27,    0.04,   -2.16,    0.44
192610,   -5.63,   -3.65,   -2.42,   -3.56,   -2.96,   -2.97,   -2.20,   -4.22,   -4.28,   -3.88,   -1.66,   -5.03,   -1.41,   -2.30,   -2.08,   -4.81,   -2.84,   -5.46,   -1.17
192611,    5.58,    3.21,    2.96,    2.94,    4.24,    2.57,    1.90,    3.98,    2.48,    6.04,    1.77,    1.11,    3.63,    1.98,    1.81,    4.23,    3.39,    2.77,    1.75
192612,   -6.13,    2.89,    2.59,    2.52,    1.57,    3.34,    1.81,    5.21,    2.06,    1.30,    1.95,    5.71,    1.69,    0.66,    3.13,    6.17,    2.97,    1.38,    3.81
192701,    0.69,   -0.28,    0.02,    4.07,   -0.37,    0.36,   -0.46,    0.69,    5.51,   -0.55,   -0.10,   -0.10,    0.70,   -1.65,    0.89,   -0.14,    2.68,    4.69,    7.54
192702,   -1.26,    4.99,    3.69,    7.64,    3.70,    5.07,    3.38,    5.50,    9.20,    4.45,    2.65,    7.63,    3.23,    3.78,    2.94,    5.26,    6.08,    8.06,   11.98
192703,  -12.81,    1.17,    0.21,   -2.71,    0.20,    1.56,   -0.42,   -0.16,   -1.95,    0.65,   -0.46,    3.12,    0.39,   -1.78,    1.10,    1.26,   -3.49,   -3.06,    0.67
192704,   -6.16,    2.94,   -0.71,    0.40,    2.20,    0.98,   -0.43,   -0.05,    1.78,    4.00,   -0.43,    4.36,   -1.65,   -1.11,    0.30,    0.35,   -1.04,    2.25,    0.74
192705,    0.76,    5.41,    5.07,    8.50,    5.57,    4.90,    5.25,    6.10,    8.98,    5.74,    5.31,    5.12,    4.71,    5.19,    5.32,    5.33,    7.99,    8.09,   11.00
192706,   23.18,   -0.99,   -2.84,   -2.53,    0.08,   -3.13,   -2.70,   -2.55,   -2.41,    0.93,   -1.21,   -3.03,   -3.21,   -2.69,   -2.71,   -2.51,   -2.65,   -2.13,   -3.03
192707,    3.23,    9.15,    6.72,    6.73,   10.52,    6.09,    6.62,    7.89,    6.92,   11.48,    8.91,    6.67,    4.87,    5.76,    7.83,    8.86,    6.64,    7.49,    6.08
192708,    6.25,    3.97,    0.97,   -1.51,    5.38,    1.42,    0.60,    0.05,   -1.42,    6.79,    2.96,    1.33,    1.61,    1.37,   -0.46,    1.28,   -1.55,    0.25,   -3.89
192709,   -7.35,    5.17,    4.31,    5.02,    5.65,    3.83,    5.28,    3.73,    6.18,    7.14,    3.00,    4.25,    2.97,    6.36,    3.78,    3.21,    4.44,    5.86,    6.68
192710,    1.59,   -3.49,   -4.25,   -6.54,   -4.29,   -2.19,   -3.69,   -5.93,  -10.88,   -3.98,   -4.86,   -1.92,   -2.74,   -3.96,   -3.29,   -7.13,   -4.33,  -11.63,   -9.72
192711,    0.00,    7.05,    6.81,    7.24,    7.01,    7.02,    6.38,    7.25,    9.06,    7.42,    6.25,    7.12,    6.81,    6.31,    6.48,    7.92,    6.37,    8.66,    9.67
192712,    9.38,    2.58,    1.91,    3.31,    2.66,    2.09,    1.85,    2.43,    5.65,    3.30,    1.39,    2.43,    1.36,    1.86,    1.83,    2.64,    2.16,    6.30,    4.68
